,Coh_Swath,Coh_SwathOverPoca,DayInYear_Swath,DemDiffMad_Swath,DemDiff_Swath,DemDiff_SwathOverPoca,Dist_SwathToPoca,Elev_Oib,Elev_Swath,Heading_Swath,Lat_Swath,LeadEdgeS_Poca,LeadEdgeW_Poca,Lon_Swath,MeanDiffSpread_Swath,PhaseConfidence_Swath,PhaseSSegment_Swath,Phase_Swath,Phase_SwathOverPoca,PowerScaled_Swath,PowerScaled_SwathOverPoca,PowerWatt_Swath,SampleNb_Swath,SampleNb_SwathMinusLeadEdgeS,StartTime_Swath,Wf_Number_Swath,X_Swath,Y_Swath
390,0.857,1.0580246913580247,124,5.665111686564994,10.920115813612938,-0.894220697453114,3568.1123861223878,914.4426,930.9201158136129,-7.179384890559489,69.68128821345007,140.1,1.5999999999999943,-49.73199696180626,53.79592552482934,0.9677007682928406,0.02454369260617026,-1.90646,0.5408640365945449,33155.0,4.0013275404296405,2.956372280452698e-15,241,100.9,1462298408,3656,-183427,-2215921
391,0.857,1.0580246913580247,124,5.665111686564994,10.920115813612938,-0.894220697453114,3568.1123861223878,914.4467,930.9201158136129,-7.179384890559489,69.68128821345007,140.1,1.5999999999999943,-49.73199696180626,53.79592552482934,0.9677007682928406,0.02454369260617026,-1.90646,0.5408640365945449,33155.0,4.0013275404296405,2.956372280452698e-15,241,100.9,1462298408,3656,-183427,-2215921
392,0.883,1.0901234567901235,124,5.665111686564994,-6.377570240758359,0.5222431159235419,3537.0976803023127,914.4175,913.6224297592416,-7.179384890559489,69.68132293973964,140.1,1.5999999999999943,-49.73119833994258,53.79592552482934,0.9833217316984616,-0.0030679615757712823,-1.920556,0.5448630816622813,21235.0,2.562756456673908,1.8934871173401615e-15,316,175.9,1462298408,3656,-183396,-2215920
393,0.798,0.9851851851851852,124,5.665111686564994,11.801371540874243,-0.9663845027200687,3474.0273458912206,914.2062,930.8013715408742,-7.179384890559489,69.68139325886756,140.1,1.5999999999999943,-49.729580903083615,53.79592552482934,0.9677007682928406,0.02454369260617026,-1.949309,0.5530203278904753,41168.0,4.968380400675839,3.670877214347057e-15,245,104.9,1462298408,3656,-183333,-2215917
394,0.951,1.174074074074074,124,5.665111686564994,-8.104636912234128,0.6636682427147687,3520.070737925589,914.3996,911.8953630877659,-7.179384890559489,69.68134180203256,140.1,1.5999999999999943,-49.73076451597001,53.79592552482934,0.9608092753849093,0.02454369260617026,-1.928243,0.5470438889434737,32878.0,3.9678976587014243,2.9316726839609054e-15,324,183.9,1462298408,3656,-183379,-2215919
395,0.931,1.1493827160493828,124,5.665111686564994,-7.766383094713092,0.6359694920987012,3462.0378391924028,914.2702,911.2336169052869,-7.179384890559489,69.68140685190122,140.1,1.5999999999999943,-49.72926820428728,53.79592552482934,0.9608092753849093,0.02454369260617026,-1.954777,0.5545716033182834,23816.0,2.874245715664977,2.123630288983908e-15,329,188.9,1462298408,3656,-183321,-2215917
396,0.917,1.1320987654320986,124,5.665111686564994,-3.498780196532607,0.28650627163480624,3409.9997067448553,914.2856,914.5012198034674,-7.179384890559489,69.68146463841137,140.1,1.5999999999999943,-49.72793871469571,53.79592552482934,0.9833217316984616,-0.0030679615757712823,-1.978368,0.561264386532881,23811.0,2.8736422881969585,2.1231844478919983e-15,317,176.9,1462298408,3656,-183269,-2215915
397,0.922,1.1382716049382715,124,5.665111686564994,-5.814710863865912,0.4761519834517275,3379.942307199932,913.9923,912.1852891361341,-7.179384890559489,69.68149734894193,140.1,1.5999999999999943,-49.727186040473725,53.79592552482934,0.9608092753849093,0.02454369260617026,-1.991707,0.5650486701706886,20857.0,2.517137340091721,1.859781530791794e-15,328,187.9,1462298408,3656,-183239,-2215913
398,0.929,1.1469135802469135,124,5.665111686564994,-3.2187302531674504,0.2635736892380595,3332.8997884724945,914.0582,913.7812697468325,-7.179384890559489,69.68155033882596,140.1,1.5999999999999943,-49.72596657287028,53.79592552482934,0.9608092753849093,0.02454369260617026,-2.01334,0.5711859674146118,26584.0,3.2083031619599325,2.370447917465074e-15,323,182.9,1462298408,3656,-183192,-2215911
399,0.929,1.1469135802469135,124,5.665111686564994,-3.2187302531674504,0.2635736892380595,3332.8997884724945,914.1643,913.7812697468325,-7.179384890559489,69.68155033882596,140.1,1.5999999999999943,-49.72596657287028,53.79592552482934,0.9608092753849093,0.02454369260617026,-2.01334,0.5711859674146118,26584.0,3.2083031619599325,2.370447917465074e-15,323,182.9,1462298408,3656,-183192,-2215911
