,Coh_Swath,Coh_SwathOverPoca,DayInYear_Swath,DemDiffMad_Swath,DemDiff_Swath,DemDiff_SwathOverPoca,Dist_SwathToPoca,Elev_Oib,Elev_Swath,Heading_Swath,Lat_Swath,LeadEdgeS_Poca,LeadEdgeW_Poca,Lon_Swath,MeanDiffSpread_Swath,PhaseConfidence_Swath,PhaseSSegment_Swath,Phase_Swath,Phase_SwathOverPoca,PowerScaled_Swath,PowerScaled_SwathOverPoca,PowerWatt_Swath,SampleNb_Swath,SampleNb_SwathMinusLeadEdgeS,StartTime_Swath,Wf_Number_Swath,X_Swath,Y_Swath
4,0.856,0.9458563535911602,125,8.482071603929525,-7.352456411346793,1.036415667139469,124.32618388738553,2543.9681,2543.647543588653,186.31296846733858,63.880271439008524,144.0,4.199999999999989,-42.969094569921936,35.255610132823705,0.97934440906526,0.01227184630308513,-3.113675,1.018153782777923,9784.0,0.6605009113616418,1.0888254694738087e-15,145,1.0,1336113389,1421,101975,-2875735
5,0.861,0.9308108108108107,125,9.589688218824584,-12.193961029872298,1.5606354690531097,333.86374466239965,2538.2353,2534.8060389701277,186.31324032391677,63.88271712049715,144.2,2.5,-42.962941635123,42.98771199637628,0.9947365352848792,0.0030679615757712823,-2.989901,1.052422531089716,35772.0,3.699276111685626,4.2768208873868176e-15,163,18.80000000000001,1336113389,1420,102274,-2875446
6,0.861,0.9308108108108107,125,9.589688218824584,-12.193961029872298,1.5606354690531097,333.86374466239965,2538.2415,2534.8060389701277,186.31324032391677,63.88271712049715,144.2,2.5,-42.962941635123,42.98771199637628,0.9947365352848792,0.0030679615757712823,-2.989901,1.052422531089716,35772.0,3.699276111685626,4.2768208873868176e-15,163,18.80000000000001,1336113389,1420,102274,-2875446
7,0.861,0.9308108108108107,125,9.589688218824584,-12.193961029872298,1.5606354690531097,333.86374466239965,2537.9242,2534.8060389701277,186.31324032391677,63.88271712049715,144.2,2.5,-42.962941635123,42.98771199637628,0.9947365352848792,0.0030679615757712823,-2.989901,1.052422531089716,35772.0,3.699276111685626,4.2768208873868176e-15,163,18.80000000000001,1336113389,1420,102274,-2875446
8,0.861,0.9308108108108107,125,9.589688218824584,-12.193961029872298,1.5606354690531097,333.86374466239965,2537.9144,2534.8060389701277,186.31324032391677,63.88271712049715,144.2,2.5,-42.962941635123,42.98771199637628,0.9947365352848792,0.0030679615757712823,-2.989901,1.052422531089716,35772.0,3.699276111685626,4.2768208873868176e-15,163,18.80000000000001,1336113389,1420,102274,-2875446
9,0.879,0.9502702702702702,125,9.589688218824584,-10.904522990807891,1.3956076545488283,252.7152547829276,2537.0126,2534.095477009192,186.31324032391677,63.882641268389456,144.2,2.5,-42.96135010308126,42.98771199637628,0.9947365352848792,0.0030679615757712823,-2.953976,1.0397772028900871,40317.0,4.16928645294726,4.820210995101597e-15,162,17.80000000000001,1336113389,1420,102355,-2875451
10,0.763,0.8248648648648649,125,9.589688218824584,-12.625467327423394,1.6158614970376421,305.7924132479418,2537.6978,2532.3745326725766,186.31324032391677,63.882691240935564,144.2,2.5,-42.96239858679786,42.98771199637628,0.9947365352848792,0.0030679615757712823,-2.977631,1.0481035839217425,28590.0,2.9565667011375387,3.4181569151959385e-15,172,27.80000000000001,1336113389,1420,102302,-2875448
11,0.763,0.8248648648648649,125,9.589688218824584,-12.625467327423394,1.6158614970376421,305.7924132479418,2537.6516,2532.3745326725766,186.31324032391677,63.882691240935564,144.2,2.5,-42.96239858679786,42.98771199637628,0.9947365352848792,0.0030679615757712823,-2.977631,1.0481035839217425,28590.0,2.9565667011375387,3.4181569151959385e-15,172,27.80000000000001,1336113389,1420,102302,-2875448
12,0.768,0.8302702702702702,125,9.589688218824584,-14.669836804270744,1.877508677113216,231.62469643800938,2536.8108,2530.3301631957293,186.31324032391677,63.88262091455529,144.2,2.5,-42.960923101904996,42.98771199637628,0.9947365352848792,0.0030679615757712823,-2.944318,1.0363776599603165,27117.0,2.804239917269907,3.2420483060289706e-15,177,32.80000000000001,1336113389,1420,102376,-2875453
13,0.768,0.8302702702702702,125,9.589688218824584,-14.669836804270744,1.877508677113216,231.62469643800938,2536.6913,2530.3301631957293,186.31324032391677,63.88262091455529,144.2,2.5,-42.960923101904996,42.98771199637628,0.9947365352848792,0.0030679615757712823,-2.944318,1.0363776599603165,27117.0,2.804239917269907,3.2420483060289706e-15,177,32.80000000000001,1336113389,1420,102376,-2875453
36,0.692,0.726890756302521,125,8.58482437432369,-25.147412712685764,4.005750988066202,1249.2461726977594,2503.2164,2502.8525872873142,186.31405771849646,63.889707587578606,74.1,0.8000000000000114,-42.93725664714111,48.152341745738,0.9781665807572655,0.01227184630308513,-2.455716,0.8147237799546042,10477.0,1.2232340922358436,9.474157570219662e-16,139,64.9,1336113389,1417,103535,-2874604
37,0.83,0.8718487394957983,125,8.58482437432369,-25.56145274732262,4.071703748168989,1273.2560622278615,2502.0255,2501.4385472526774,186.31405771849646,63.889684673106544,74.1,0.8000000000000114,-42.9367774834775,48.152341745738,0.9781665807572655,0.01227184630308513,-2.444897,0.8111344004924317,14421.0,1.6837127845884414,1.3040643917165001e-15,144,69.9,1336113389,1417,103559,-2874605
38,0.798,0.8382352941176472,125,8.58482437432369,-23.945268564857543,3.8142605089867505,1382.5490949691443,2501.5518,2501.0547314351425,186.31405771849646,63.88958115360483,74.1,0.8000000000000114,-42.934613214103365,48.152341745738,0.9781665807572655,0.01227184630308513,-2.396058,0.7949312667875558,12821.0,1.4969060128429656,1.159379347215675e-15,141,66.9,1336113389,1417,103668,-2874613
39,0.851,0.8939075630252101,125,8.58482437432369,-25.575440508313477,4.073931869528835,1298.3350877181128,2500.967,2501.4245594916865,186.31405771849646,63.88966117299921,74.1,0.8000000000000114,-42.93628610890556,48.152341745738,0.9781665807572655,0.01227184630308513,-2.433809,0.8074557758989784,16570.0,1.9346176298890836,1.498394492111671e-15,143,68.9,1336113389,1417,103584,-2874607
40,0.798,0.8382352941176472,125,8.58482437432369,-23.945268564857543,3.8142605089867505,1382.5490949691443,2500.6159,2501.0547314351425,186.31405771849646,63.88958115360483,74.1,0.8000000000000114,-42.934613214103365,48.152341745738,0.9781665807572655,0.01227184630308513,-2.396058,0.7949312667875558,12821.0,1.4969060128429656,1.159379347215675e-15,141,66.9,1336113389,1417,103668,-2874613
41,0.798,0.8382352941176472,125,8.58482437432369,-23.945268564857543,3.8142605089867505,1382.5490949691443,2500.7562,2501.0547314351425,186.31405771849646,63.88958115360483,74.1,0.8000000000000114,-42.934613214103365,48.152341745738,0.9781665807572655,0.01227184630308513,-2.396058,0.7949312667875558,12821.0,1.4969060128429656,1.159379347215675e-15,141,66.9,1336113389,1417,103668,-2874613
42,0.798,0.8382352941176472,125,8.58482437432369,-23.945268564857543,3.8142605089867505,1382.5490949691443,2499.7856,2501.0547314351425,186.31405771849646,63.88958115360483,74.1,0.8000000000000114,-42.934613214103365,48.152341745738,0.9781665807572655,0.01227184630308513,-2.396058,0.7949312667875558,12821.0,1.4969060128429656,1.159379347215675e-15,141,66.9,1336113389,1417,103668,-2874613
43,0.849,0.8918067226890757,125,8.58482437432369,-26.99238772317767,4.29963849672061,1502.885557851961,2499.0133,2498.0076122768223,186.31405771849646,63.889467399318896,74.1,0.8000000000000114,-42.932235765245935,48.152341745738,0.9781665807572655,0.01227184630308513,-2.342396,0.7771280242790881,25731.0,3.004203152364273,2.3268068000317085e-15,149,74.9,1336113389,1417,103788,-2874622
44,0.849,0.8918067226890757,125,8.58482437432369,-26.99238772317767,4.29963849672061,1502.885557851961,2499.1763,2498.0076122768223,186.31405771849646,63.889467399318896,74.1,0.8000000000000114,-42.932235765245935,48.152341745738,0.9781665807572655,0.01227184630308513,-2.342396,0.7771280242790881,25731.0,3.004203152364273,2.3268068000317085e-15,149,74.9,1336113389,1417,103788,-2874622
45,0.815,0.8560924369747899,125,8.58482437432369,-25.539297191426158,4.0681745723870755,1521.9083415238908,2498.9304,2499.460702808574,186.31405771849646,63.8894491253408,74.1,0.8000000000000114,-42.931853919519426,48.152341745738,0.9781665807572655,0.01227184630308513,-2.333786,0.7742715165455354,17155.0,2.002918855808523,1.5512949615072853e-15,142,67.9,1336113389,1417,103807,-2874623
46,0.849,0.8918067226890757,125,8.58482437432369,-26.99238772317767,4.29963849672061,1502.885557851961,2498.2862,2498.0076122768223,186.31405771849646,63.889467399318896,74.1,0.8000000000000114,-42.932235765245935,48.152341745738,0.9781665807572655,0.01227184630308513,-2.342396,0.7771280242790881,25731.0,3.004203152364273,2.3268068000317085e-15,149,74.9,1336113389,1417,103788,-2874622
47,0.849,0.8918067226890757,125,8.58482437432369,-26.99238772317767,4.29963849672061,1502.885557851961,2498.4215,2498.0076122768223,186.31405771849646,63.889467399318896,74.1,0.8000000000000114,-42.932235765245935,48.152341745738,0.9781665807572655,0.01227184630308513,-2.342396,0.7771280242790881,25731.0,3.004203152364273,2.3268068000317085e-15,149,74.9,1336113389,1417,103788,-2874622
48,0.815,0.8560924369747899,125,8.58482437432369,-25.539297191426158,4.0681745723870755,1521.9083415238908,2497.7201,2499.460702808574,186.31405771849646,63.8894491253408,74.1,0.8000000000000114,-42.931853919519426,48.152341745738,0.9781665807572655,0.01227184630308513,-2.333786,0.7742715165455354,17155.0,2.002918855808523,1.5512949615072853e-15,142,67.9,1336113389,1417,103807,-2874623
49,0.825,0.8665966386554622,125,8.58482437432369,-26.617542662657797,4.2399291346202395,1647.2319205260685,2497.5755,2496.382457337342,186.31405771849646,63.889329756383574,74.1,0.8000000000000114,-42.92936016293464,48.152341745738,0.9781665807572655,0.01227184630308513,-2.277499,0.755597387532936,26991.0,3.1513134851138354,2.440746272576108e-15,150,75.9,1336113389,1417,103932,-2874632
