,Coh_Swath,Coh_SwathOverPoca,DayInYear_Swath,DemDiffMad_Swath,DemDiff_Swath,DemDiff_SwathOverPoca,Dist_SwathToPoca,Elev_Oib,Elev_Swath,Heading_Swath,Lat_Swath,LeadEdgeS_Poca,LeadEdgeW_Poca,Lon_Swath,MeanDiffSpread_Swath,PhaseConfidence_Swath,PhaseSSegment_Swath,Phase_Swath,Phase_SwathOverPoca,PowerScaled_Swath,PowerScaled_SwathOverPoca,PowerWatt_Swath,SampleNb_Swath,SampleNb_SwathMinusLeadEdgeS,StartTime_Swath,Wf_Number_Swath,X_Swath,Y_Swath
215,0.517,0.5286298568507157,117,5.743889369391033,-21.554075269028544,15.418614230906547,1744.6503947782776,1926.3323,1911.4459247309715,-10.20541144728891,77.52651061585092,175.2,3.8000000000000114,-30.289167935403952,81.62901094470485,0.9762297584868203,-0.006135923151542565,2.403693,1.5165516542876196,3802.0,0.28789943964864456,1.9767043116722395e-15,293,117.80000000000001,1367017595,3377,344436,-1311904
216,0.517,0.5286298568507157,117,5.743889369391033,-21.554075269028544,15.418614230906547,1744.6503947782776,1926.4673,1911.4459247309715,-10.20541144728891,77.52651061585092,175.2,3.8000000000000114,-30.289167935403952,81.62901094470485,0.9762297584868203,-0.006135923151542565,2.403693,1.5165516542876196,3802.0,0.28789943964864456,1.9767043116722395e-15,293,117.80000000000001,1367017595,3377,344436,-1311904
217,0.625,0.6390593047034765,117,5.743889369391033,-15.076821208931506,10.785138640714333,1731.2379963482779,1926.485,1917.9231787910685,-10.20541144728891,77.52653295304239,175.2,3.8000000000000114,-30.288607599348722,81.62901094470485,0.9762297584868203,-0.006135923151542565,2.39738,1.5125686204336635,5145.0,0.38959563834620625,2.6749457347589878e-15,265,89.80000000000001,1367017595,3377,344448,-1311898
218,0.625,0.6390593047034765,117,5.743889369391033,-15.076821208931506,10.785138640714333,1731.2379963482779,1926.6356,1917.9231787910685,-10.20541144728891,77.52653295304239,175.2,3.8000000000000114,-30.288607599348722,81.62901094470485,0.9762297584868203,-0.006135923151542565,2.39738,1.5125686204336635,5145.0,0.38959563834620625,2.6749457347589878e-15,265,89.80000000000001,1367017595,3377,344448,-1311898
221,0.631,0.6451942740286298,117,5.743889369391033,-16.05422461219132,11.48431992475174,1644.907900157331,1926.839,1916.9457753878087,-10.20541144728891,77.52667549486777,175.2,3.8000000000000114,-30.28503115902805,81.62901094470485,0.9762297584868203,-0.006135923151542565,2.356972,1.4870741753250516,6138.0,0.4647887323943662,3.191218060243084e-15,267,91.80000000000001,1367017595,3377,344526,-1311861
222,0.631,0.6451942740286298,117,5.743889369391033,-16.05422461219132,11.48431992475174,1644.907900157331,1926.9758,1916.9457753878087,-10.20541144728891,77.52667549486777,175.2,3.8000000000000114,-30.28503115902805,81.62901094470485,0.9762297584868203,-0.006135923151542565,2.356972,1.4870741753250516,6138.0,0.4647887323943662,3.191218060243084e-15,267,91.80000000000001,1367017595,3377,344526,-1311861
223,0.641,0.6554192229038855,117,5.743889369391033,-15.991887507028878,11.439727347024583,1615.367759985323,1927.0401,1917.0081124929711,-10.20541144728891,77.52672438683958,175.2,3.8000000000000114,-30.283804146077443,81.62901094470485,0.9762297584868203,-0.006135923151542565,2.34311,1.478328283469588,5294.0,0.4008783886112373,2.7524125791669743e-15,266,90.80000000000001,1367017595,3377,344553,-1311849
224,0.589,0.6022494887525562,117,5.743889369391033,-20.700219769962132,14.8078124041188,1570.179925995744,1927.2242,1912.2997802300379,-10.20541144728891,77.52679858736555,175.2,3.8000000000000114,-30.281941695326054,81.62901094470485,0.9762297584868203,-0.006135923151542565,2.322057,1.4650454050081052,4651.0,0.3521883992124792,2.4181093512855304e-15,285,109.80000000000001,1367017595,3377,344594,-1311830
225,0.591,0.6042944785276073,117,5.743889369391033,-20.222623872570693,14.46616625097933,1531.272999827268,1927.4071,1912.7773761274293,-10.20541144728891,77.5268640157626,175.2,3.8000000000000114,-30.280299143000946,81.62901094470485,0.9762297584868203,-0.006135923151542565,2.303502,1.453338578909553,4425.0,0.33507496592457975,2.3006093054049604e-15,282,106.80000000000001,1367017595,3377,344629,-1311813
226,0.591,0.6042944785276073,117,5.743889369391033,-20.222623872570693,14.46616625097933,1531.272999827268,1927.5768,1912.7773761274293,-10.20541144728891,77.5268640157626,175.2,3.8000000000000114,-30.280299143000946,81.62901094470485,0.9762297584868203,-0.006135923151542565,2.303502,1.453338578909553,4425.0,0.33507496592457975,2.3006093054049604e-15,282,106.80000000000001,1367017595,3377,344629,-1311813
231,0.68,0.6952965235173825,117,5.743889369391033,-15.548207873478532,11.122343046077438,1283.884730028362,1928.4897,1918.4517921265215,-10.20541144728891,77.52727341825681,175.2,3.8000000000000114,-30.270015212487237,81.62901094470485,0.9970752931970025,0.0030679615757712823,2.18734,1.3800489894048373,5438.0,0.4117825230955626,2.82727986503778e-15,252,76.80000000000001,1367017595,3377,344853,-1311708
232,0.583,0.5961145194274028,117,5.743889369391033,-17.10157469753176,12.23353726435042,1255.2497759410276,1928.6257,1916.8984253024682,-10.20541144728891,77.52732011890048,175.2,3.8000000000000114,-30.26884145787261,81.62901094470485,0.9762297584868203,-0.006135923151542565,2.174077,1.3716810220351205,5602.0,0.4242011207027109,2.912545385057308e-15,258,82.80000000000001,1367017595,3377,344879,-1311696
237,0.572,0.5848670756646216,117,5.743889369391033,-26.3981395913288,18.883794627792653,1131.3430072263673,1929.0469,1907.6018604086712,-10.20541144728891,77.5275236542678,175.2,3.8000000000000114,-30.263724293895336,81.62901094470485,0.9762297584868203,-0.006135923151542565,2.116251,1.3351971133326217,3386.0,0.256398606693927,1.7604210413788014e-15,295,119.80000000000001,1367017595,3377,344991,-1311643
239,0.768,0.7852760736196319,117,5.743889369391033,-14.164958540350199,10.132841636879391,1096.001824815999,1929.1922,1919.8350414596498,-10.20541144728891,77.52758330289922,175.2,3.8000000000000114,-30.26222415334678,81.62901094470485,0.9970752931970025,0.0030679615757712823,2.099333,1.3245231125815948,8147.0,0.6169165530819325,4.235720680482308e-15,242,66.80000000000001,1367017595,3377,345023,-1311628
240,0.667,0.6820040899795502,117,5.743889369391033,-15.376732362434268,10.999678783201908,1087.0602559196063,1929.1063,1918.6232676375657,-10.20541144728891,77.52759686522458,175.2,3.8000000000000114,-30.261883034913296,81.62901094470485,0.9970752931970025,0.0030679615757712823,2.095477,1.3220902631374547,6384.0,0.4834166288050886,3.3191163402723768e-15,247,71.80000000000001,1367017595,3377,345031,-1311624
241,0.722,0.7382413087934561,117,5.743889369391033,-17.394507286138833,12.44308532071651,1058.4252453527363,1929.326,1916.6054927138612,-10.20541144728891,77.52764516065866,175.2,3.8000000000000114,-30.26066821890737,81.62901094470485,0.9970752931970025,0.0030679615757712823,2.08175,1.3134295462495635,5839.0,0.44214750870816294,3.0357644597196754e-15,255,79.80000000000001,1367017595,3377,345057,-1311612
242,0.722,0.7382413087934561,117,5.743889369391033,-17.394507286138833,12.44308532071651,1058.4252453527363,1929.2346,1916.6054927138612,-10.20541144728891,77.52764516065866,175.2,3.8000000000000114,-30.26066821890737,81.62901094470485,0.9970752931970025,0.0030679615757712823,2.08175,1.3134295462495635,5839.0,0.44214750870816294,3.0357644597196754e-15,255,79.80000000000001,1367017595,3377,345057,-1311612
243,0.788,0.8057259713701432,117,5.743889369391033,-11.643018702045083,8.328782915035001,1037.4015615951232,1929.4511,1922.356981297955,-10.20541144728891,77.52768027999704,175.2,3.8000000000000114,-30.259784740802672,81.62901094470485,0.9970752931970025,0.0030679615757712823,2.071783,1.307141109939983,7915.0,0.5993487808571861,4.115101164357122e-15,230,54.80000000000001,1367017595,3377,345076,-1311603
